scenario,filter,rmse_mean_m,rmse_std_m,mean_error_m,p90_error_m,final_error_m,runtime_mean_ms,runtime_std_ms
nominal,MEKF,0.15318545272609932,0.007461075398125415,0.140675272416987,0.2206506227595946,0.1282710672930744,0.16951092081879016,0.02374361696023613
nominal,ItEKF,0.15334158173502,0.007534328057150597,0.14082277168975155,0.22089834336995887,0.12840142659566142,0.4888992209586542,0.09367924830818898
nominal,MEKF-gated,0.15418374327459325,0.008371849817679057,0.1414444855198879,0.22341762353823647,0.12886338733788652,0.34847631223924425,0.05910708758548716
nominal,ItEKF-gated,0.15404432306137797,0.00831386300226696,0.14136227231750756,0.22239898398291358,0.12926372239347628,1.0165708661825847,0.16644189191204115
nominal,PF,0.18308633316897074,0.006751627691831931,0.16780389332448106,0.26485758822358757,0.1700931090495926,1.03943553353429,0.10301988446547446
poor_init,MEKF,0.15481736301851676,0.007607724541824636,0.14178821559806012,0.22412066566357858,0.12827106729308027,0.1787082417017367,0.023174072028235772
poor_init,ItEKF,0.15463527996444293,0.007710565544873522,0.14174074093860453,0.2238539910984296,0.12840142659566528,0.48017587794798816,0.05754572072004696
poor_init,MEKF-gated,0.15581839921194598,0.008556655907294873,0.14257213324005566,0.22632115063155098,0.12886338733789304,0.3467156054634109,0.03900051157731048
poor_init,ItEKF-gated,0.15533957501734583,0.008444456498535372,0.14228531274961065,0.22480486808039568,0.12926372239348055,1.007839572269072,0.11998125701540976
poor_init,PF,0.21515375830138553,0.02452613963996986,0.18587510196143298,0.30392167927482866,0.1715700980975274,1.026071614460539,0.1302716154702297
high_noise,MEKF,0.3455294763210563,0.021658100361510738,0.3163419205288834,0.5057184799224536,0.2685970000361878,0.20693824896035953,0.03917094212539548
high_noise,ItEKF,0.3466765459675478,0.022019447670013074,0.3173365139184945,0.5082066621675347,0.2695014842878361,0.567401326423176,0.09205631804584313
high_noise,MEKF-gated,0.34747859037643875,0.023083360614542532,0.31798572276414866,0.5105930715883026,0.273812232795152,0.38791648236626264,0.05952813626463796
high_noise,ItEKF-gated,0.3492236704512746,0.023195170650010692,0.31960156191939976,0.5134490342385681,0.27335729099516337,1.1682588015237079,0.16448822557812043
high_noise,PF,0.4463302405870822,0.029859286638712432,0.40982508867271644,0.6509303903556752,0.4278888621714963,1.1415132226800948,0.17516015300227125
dropout_outlier,MEKF,0.5391790377195381,0.07009862758493403,0.4532285870458817,0.8295507503168094,0.5242254276563431,0.19349102143175914,0.04816669056697624
dropout_outlier,ItEKF,0.5423580464555838,0.0824283235816766,0.4533184493473346,0.8281306799482276,0.5187403260695705,0.5396588506217107,0.13547290315310104
dropout_outlier,MEKF-gated,0.24776512019325803,0.010393662660137757,0.2250639222120823,0.3608548676759728,0.14403400880385944,0.36302277108953424,0.0852806844183928
dropout_outlier,ItEKF-gated,0.24897940315745146,0.01089934110398998,0.22570764207471863,0.362080242040934,0.14340121406925913,1.0482615615451027,0.22961733531158074
dropout_outlier,PF,0.3168702748422236,0.02231235886166815,0.288294560001322,0.465371560894886,0.20385377096377422,1.0753995335352573,0.2368127905779186
